445969807,16,30858
490254267,17,87576
490254265,16,150443
490254288,2,99099099
490254300,16,173112
490254301,16,437607
490254319,16,282008
490254324,17,74019
490254339,17,223813
490254347,16,220958
490254360,16,122494
490254372,0,98098098
490254370,16,131795
490259457,16,134029
490259463,16,56215
490259474,16,72208
490259486,16,62344
490259494,16,52612
490259512,16,64111
490259517,16,42267
490259532,16,142282
490259563,16,47872
490259588,16,134299
490259603,16,58858
490259624,16,111495
490259647,16,74390
490259670,16,48485
490259697,16,133098
490259710,16,242342
490259734,16,113023
490259764,16,57617
490259793,16,122860
490259817,16,41293
490259831,16,72782
490259856,16,326146
490259880,16,69958
490259906,16,55448
490259927,16,69671
490259931,16,46867
490259968,16,177449
490259992,16,48581
490260012,16,62049
490260032,16,45813
490260053,16,53987
490260073,16,57860
490260085,16,53321
490260101,16,94284
490260091,16,333955
490260119,16,57409
490260145,16,42656
490260163,17,94780
490260175,16,167368
490260194,16,66907
490260212,16,125884
490260238,16,64755
490260261,16,41720
490260290,16,158635
490260321,16,49450
490260344,16,44787
490260373,16,66142
490260386,16,61190
490260413,16,92553
490260437,16,156162
490260459,16,86701
490260487,16,78448
490260505,16,102772
490260537,16,72935
490260560,16,65792
490260588,2,99099099
490260613,16,95677
490260644,16,58452
490260673,16,81278
490260695,16,269085
490260730,16,269085
490260759,16,99798
490260797,16,36957
490260823,16,81335
490260868,16,66790
490260885,16,91932
490260925,16,135800
490260959,16,148197
490260976,16,147544
490261013,16,76266
490261043,16,66773
490261064,16,132692
490261097,16,174014
490261114,16,100142
490261142,16,70218
490261161,16,51225
490261189,16,35872
490261217,16,197782
490261242,16,64862
490261246,16,155722
490261282,16,98248
490261299,16,182336
490261330,16,41693
490261352,16,29866
490261373,16,149481
490261392,16,59056
490261399,16,51530
490261422,16,144683
490261442,16,74028
490261465,16,40430
490261483,16,49843
490261506,16,63548
490261524,16,134423
490261536,16,197482
490261556,16,74728
490261575,16,73295
490261578,16,45301
490261576,16,120295
490261570,16,85692
490261603,16,76898
490261622,16,76718
490261639,16,238892
490261647,16,86955
490261673,16,195195
490261680,16,177848
490261689,16,190629
490261686,16,148235
490261705,16,33533
490261701,16,50328
490261718,16,85738
490261728,16,64798
490261731,16,139119
490261738,2,99099099
490261752,16,39454
490261755,16,50081
490261760,16,60452
490261773,16,255674
490261782,16,62285
490261784,16,76690
490261792,16,103074
490261798,16,34251
490261814,16,177290
490261816,16,67923
490261821,16,120031
490261810,16,118904
490261811,16,38130
490261838,16,79672
490261841,16,86612
490261861,16,104127
490261870,16,102514
490261873,2,96096096
490261878,16,100265
490261887,16,81235
490261897,17,273765
490261902,16,79672
